"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Martin, Austin",668885,2025,54,14.8,5.6,".281",".289",34.9,2.3,25.6,"95.65562381","91.831880952",14.9,39.5
"Hummel, Cooper",669450,2025,105,29.5,13.3,".268",".326",31,12.1,37.9,"100.34355","94.891784737",32.4,41.8
"House, Brady",691781,2025,179,26.3,2.8,".244",".293",37,3.9,44.1,"100.687059683","94.591873333",30.9,58.4
"Acosta, Maximo",691185,2025,11,27.3,9.1,".249",".360",28.6,14.3,57.1,"100.302215","95.207097143",27.8,46.2
"Millas, Drew",686452,2025,50,12,6,".373",".301",32.5,2.5,22.5,"95.365754","91.812701282",16.7,47.4
"Langeliers, Shea",669127,2025,401,18.5,6.7,".364",".342",32.3,12.3,44.7,"102.1963918","95.337651572",23.4,51.7
"Baddoo, Akil",668731,2025,18,27.8,5.6,".157",".271",33.3,0,41.7,"99.63324","93.81662",30.6,66.7
"Bell, Josh",605137,2025,430,17.2,11.2,".317",".355",31,11.2,45.2,"102.297575533","95.424539833",24,46.5
"Swanson, Dansby",621020,2025,510,27.3,6.5,".303",".348",35.8,12.1,47.6,"101.107927857","95.005155373",30.7,50.3
"Guerrero Jr., Vladimir",665489,2025,545,14.1,13,".385",".415",35,13.3,51.9,"105.376751495","97.311852706",21.5,41
"Stanton, Giancarlo",519317,2025,167,30.5,10.8,".432",".379",37.1,20.6,56.7,"107.908973265","99.234334845",35,40.8
"Avans, Drew",682183,2025,18,33.3,0,".098",".158",25,0,16.7,"93.841003333","91.511944545",17,59.5
"Betts, Mookie",605141,2025,513,10.7,9,".299",".320",35,4.9,34,"97.556170488","92.951556504",15.9,41.7
"Torkelson, Spencer",679529,2025,514,24.7,10.9,".345",".351",41,13.7,44.4,"100.581613851","94.638124193",26.1,44.9
"Stephenson, Tyler",663886,2025,288,34.4,11.1,".308",".304",41,12.2,49.4,"100.454654744","94.815268581",30.6,43.9
